
NorNE_ne_CR_all_labels_nb-bert-base_seed_101
,precision,recall,f1-score,support
NorNE_ne_CR_all_labels_nb-bert-base_seed_8
,precision,recall,f1-score,support
B-DRV,0.8108108108108109,0.7692307692307693,0.7894736842105263,78.0
I-DRV,0.5454545454545454,0.46153846153846156,0.4999999999999999,13.0
B-EVT,0.4583333333333333,0.7857142857142857,0.5789473684210527,14.0
I-EVT,0.15384615384615385,0.5,0.23529411764705882,4.0
B-GPE_LOC,0.8960176991150443,0.9462616822429907,0.9204545454545454,428.0
I-GPE_LOC,0.872093023255814,0.9493670886075949,0.9090909090909091,79.0
B-GPE_ORG,0.8392857142857143,0.7704918032786885,0.8034188034188035,61.0
I-GPE_ORG,1.0,1.0,1.0,7.0
B-LOC,0.7512953367875648,0.7837837837837838,0.7671957671957672,185.0
I-LOC,0.8888888888888888,0.7529411764705882,0.8152866242038216,85.0
B-MISC,0.8,0.5714285714285714,0.6666666666666666,14.0
I-MISC,1.0,0.3333333333333333,0.5,3.0
B-ORG,0.8565815324165029,0.836852207293666,0.8466019417475729,521.0
I-ORG,0.8761467889908257,0.7701612903225806,0.8197424892703863,248.0
B-PER,0.9487704918032787,0.963579604578564,0.9561177077955602,961.0
I-PER,0.9596928982725528,0.9803921568627451,0.9699321047526672,510.0
B-PROD,0.6048387096774194,0.5725190839694656,0.5882352941176472,131.0
I-PROD,0.6019417475728155,0.49206349206349204,0.5414847161572052,126.0
micro avg,0.8756521739130435,0.8711072664359861,0.8733738074588031,3468.0
macro avg,0.7702220930284036,0.7355365994844212,0.7337745966750107,3468.0
weighted avg,0.8755918347952503,0.8711072664359861,0.8720088558160922,3468.0
