
NorNE_ne_CR_binary_nb-bert-base_seed_101
,precision,recall,f1-score,support
0,0.9967211834966236,0.9960796551656882,0.9964003160698085,51271.0
1,0.9425878320479862,0.9515570934256056,0.9470512268618166,3468.0
accuracy,0.993258919600285,0.993258919600285,0.993258919600285,0.993258919600285
macro avg,0.9696545077723049,0.9738183742956469,0.9717257714658125,54739.0
weighted avg,0.9932915544784853,0.993258919600285,0.9932737949171877,54739.0

NorNE_ne_CR_binary_nb-bert-base_seed_1024
,precision,recall,f1-score,support
0,0.9959847968034304,0.9966452770572058,0.9963149274684137,51271.0
1,0.9499126383226558,0.9405997693194925,0.9452332657200812,3468.0
accuracy,0.99309450300517,0.99309450300517,0.99309450300517,0.99309450300517
macro avg,0.9729487175630431,0.9686225231883492,0.9707740965942474,54739.0
weighted avg,0.99306588623489,0.99309450300517,0.9930786388452526,54739.0

NorNE_ne_CR_binary_nb-bert-base_seed_37
,precision,recall,f1-score,support
0,0.9954632189727014,0.9971523863392561,0.9963070866908963,51271.0
1,0.9568175096125406,0.9328143021914648,0.9446634545189078,3468.0
accuracy,0.9930762344946017,0.9930762344946017,0.9930762344946017,0.9930762344946017
macro avg,0.976140364292621,0.9649833442653604,0.9704852706049021,54739.0
weighted avg,0.9930148125337631,0.9930762344946017,0.9930351943221564,54739.0

NorNE_ne_CR_binary_nb-bert-base_seed_42
,precision,recall,f1-score,support
0,0.9966624377866693,0.9959626299467536,0.9963124109808207,51271.0
1,0.9409246575342466,0.9506920415224913,0.9457831325301205,3468.0
accuracy,0.99309450300517,0.99309450300517,0.99309450300517,0.99309450300517
macro avg,0.9687935476604579,0.9733273357346224,0.9710477717554706,54739.0
weighted avg,0.9931311598693635,0.99309450300517,0.993111118709003,54739.0

NorNE_ne_CR_binary_nb-bert-base_seed_8
,precision,recall,f1-score,support
0,0.9959250521554329,0.996274697197246,0.9960998439937598,51271.0
1,0.9446376811594203,0.9397347174163783,0.9421798207574442,3468.0
accuracy,0.9926925957726667,0.9926925957726667,0.9926925957726667,0.9926925957726667
macro avg,0.9702813666574266,0.9680047073068121,0.969139832375602,54739.0
weighted avg,0.9926757307828435,0.9926925957726667,0.9926837304260376,54739.0
