
NorNE_ne_CF_MATRIX_NO_O_nb-bert-base_seed_101
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
I-GPE_LOC,0,0,0,0,0,74,0,3,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,15,0,43,0,0,0,0,0,3,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,14,0,0,0,140,0,0,0,6,1,11,0,1,0
I-LOC,0,0,0,0,0,0,0,0,2,55,0,0,0,5,1,17,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,9,1,0,0,2,0,1,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
B-ORG,2,0,1,0,3,0,1,0,6,0,0,0,427,2,12,0,25,0
I-ORG,1,0,0,1,6,0,0,0,0,2,0,0,5,202,1,3,0,12
B-PER,0,0,0,0,2,0,0,0,1,0,0,0,5,0,943,0,2,0
I-PER,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,502,0,0
B-PROD,1,0,0,0,0,0,1,0,3,0,0,0,8,0,7,0,87,0
I-PROD,0,0,0,0,2,0,0,0,5,0,0,0,0,11,0,4,1,66

NorNE_ne_CF_MATRIX_NO_O_nb-bert-base_seed_8
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,60,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
I-DRV,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
I-EVT,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,405,1,8,0,8,0,0,0,3,0,0,0,1,1
I-GPE_LOC,0,0,0,0,0,75,0,0,0,2,0,0,0,0,0,0,0,0
B-GPE_ORG,0,0,0,0,14,0,47,0,0,0,0,0,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,14,0,0,0,145,0,0,0,4,0,8,0,0,0
I-LOC,0,0,0,0,0,2,0,0,2,64,0,0,0,1,1,11,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
B-ORG,1,0,1,0,1,0,0,0,10,0,0,0,436,2,15,0,18,0
I-ORG,1,0,0,0,5,0,0,0,0,3,0,0,5,191,2,3,0,13
B-PER,1,0,0,0,0,0,1,0,3,0,0,0,13,0,926,0,3,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,500,0,0
B-PROD,1,0,1,0,1,0,0,0,3,0,0,0,9,0,8,0,75,0
I-PROD,0,0,0,0,2,0,0,0,5,0,0,0,0,1,1,5,1,62
