
NorNE_ne_CR_all_labels_norbert_seed_37
,precision,recall,f1-score,support
I-DRV,0.391304347826087,0.6923076923076923,0.5,13.0
B-EVT,0.2857142857142857,0.14285714285714285,0.19047619047619047,14.0
I-EVT,0.0,0.0,0.0,4.0
B-GPE_LOC,0.8772727272727273,0.9018691588785047,0.8894009216589862,428.0
I-GPE_LOC,0.9146341463414634,0.9493670886075949,0.9316770186335404,79.0
B-GPE_ORG,0.6119402985074627,0.6721311475409836,0.640625,61.0
I-GPE_ORG,0.7777777777777778,1.0,0.8750000000000001,7.0
B-LOC,0.6868131868131868,0.6756756756756757,0.6811989100817438,185.0
I-LOC,0.8235294117647058,0.49411764705882355,0.6176470588235294,85.0
B-MISC,0.0,0.0,0.0,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.8149606299212598,0.7946257197696737,0.80466472303207,521.0
I-ORG,0.8492462311557789,0.6814516129032258,0.756152125279642,248.0
B-PER,0.9293756397134084,0.9448491155046826,0.9370485036119711,961.0
I-PER,0.9487666034155597,0.9803921568627451,0.9643201542912246,510.0
B-PROD,0.5490196078431373,0.42748091603053434,0.48068669527896996,131.0
I-PROD,0.6388888888888888,0.36507936507936506,0.4646464646464646,126.0
micro avg,0.8511851185118512,0.8180507497116494,0.8342890751360094,3468.0
macro avg,0.5978908044794528,0.580720759435882,0.5793703176129914,3468.0
weighted avg,0.8399587017409076,0.8180507497116494,0.8252466929713654,3468.0
