
NorNE_ne_CF_MATRIX_NO_O_norbert_seed_37
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
I-EVT,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,1,1,0,387,0,18,0,8,0,0,0,5,3,2,0,0,0
I-GPE_LOC,0,0,0,0,0,73,0,2,0,2,0,0,0,0,0,0,0,0
B-GPE_ORG,1,0,1,0,16,0,38,0,0,0,0,0,4,0,1,0,0,0
I-GPE_ORG,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,22,0,0,0,121,0,0,0,14,0,10,0,1,0
I-LOC,0,0,0,0,1,2,0,0,2,50,0,0,0,11,1,8,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,8,0,1,0,2,0,2,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,2,0,0,0,1,0,3,0,10,0,0,0,428,1,16,0,14,0
I-ORG,0,0,0,0,3,0,0,0,1,4,0,0,5,179,2,9,0,10
B-PER,2,0,0,0,0,0,0,0,1,0,0,0,5,0,922,1,3,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,497,0,1
B-PROD,2,0,0,0,1,0,0,0,7,0,0,0,10,0,8,0,68,0
I-PROD,0,0,0,0,1,0,0,0,6,0,0,0,0,8,0,4,3,45

NorNE_ne_CF_MATRIX_NO_O_norbert_seed_101
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,57,1,0,0,1,0,0,0,3,0,0,0,2,0,1,0,2,0
I-DRV,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,6,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
I-EVT,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,2,0,395,2,12,0,9,0,0,0,4,0,0,0,1,1
I-GPE_LOC,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,1,0,0,0,15,0,44,0,0,0,0,0,1,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,28,0,0,0,118,0,0,0,12,0,7,0,0,0
I-LOC,0,0,0,0,1,3,0,0,2,55,0,0,0,10,1,6,0,0
B-MISC,0,0,2,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,3,0,0,0,3,0,4,0,13,0,0,0,421,2,14,0,11,0
I-ORG,0,0,0,1,4,1,0,0,1,5,0,0,3,178,2,6,1,5
B-PER,1,0,0,0,4,0,4,0,3,0,0,0,13,0,892,3,3,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,496,0,0
B-PROD,2,0,0,0,1,0,0,0,8,0,0,0,15,0,11,0,61,0
I-PROD,0,0,0,0,1,0,0,0,6,0,0,0,0,7,2,7,3,46

NorNE_ne_CF_MATRIX_NO_O_norbert_seed_1024
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD
B-DRV,53,1,0,0,3,0,0,0,4,0,0,0,4,0,1,0,2,0
I-DRV,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
B-EVT,6,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
B-GPE_LOC,0,0,0,0,384,0,21,0,12,0,0,0,5,1,2,0,1,1
I-GPE_LOC,0,0,0,0,0,76,0,0,0,0,0,0,0,1,0,0,0,0
B-GPE_ORG,0,0,0,0,14,0,44,0,0,0,0,0,2,0,1,0,0,0
I-GPE_ORG,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0
B-LOC,0,0,1,0,40,0,0,0,103,0,0,0,19,1,9,0,1,1
I-LOC,0,0,0,0,1,2,0,0,2,38,0,0,0,29,1,7,0,1
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,3,0,0,0,6,0,6,0,10,0,0,0,441,3,15,0,5,0
I-ORG,0,0,0,0,6,1,0,0,2,2,0,0,4,190,1,5,0,9
B-PER,2,0,0,0,1,0,2,0,3,0,0,0,11,0,913,4,5,0
I-PER,0,0,0,0,0,0,0,0,0,1,0,0,0,3,12,493,0,1
B-PROD,4,0,0,0,0,0,1,0,8,0,0,0,21,1,12,0,56,0
I-PROD,0,0,0,0,4,0,0,0,4,0,0,0,1,8,2,5,0,53

