
NorNE_ne_CR_all_labels_norbert2_seed_101
,precision,recall,f1-score,support
B-DRV,0.6629213483146067,0.7564102564102564,0.7065868263473053,78.0
I-DRV,0.5,0.6153846153846154,0.5517241379310345,13.0
B-EVT,0.6153846153846154,0.5714285714285714,0.5925925925925927,14.0
I-EVT,0.2857142857142857,0.5,0.36363636363636365,4.0
B-GPE_LOC,0.906392694063927,0.927570093457944,0.9168591224018476,428.0
I-GPE_LOC,0.9024390243902439,0.9367088607594937,0.9192546583850932,79.0
B-GPE_ORG,0.8653846153846154,0.7377049180327869,0.7964601769911505,61.0
I-GPE_ORG,0.7777777777777778,1.0,0.8750000000000001,7.0
B-LOC,0.7205882352941176,0.7945945945945946,0.7557840616966581,185.0
I-LOC,0.8939393939393939,0.6941176470588235,0.7814569536423842,85.0
B-MISC,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.83984375,0.8253358925143954,0.8325266214908036,521.0
I-ORG,0.9076923076923077,0.7137096774193549,0.7990970654627539,248.0
B-PER,0.9401260504201681,0.931321540062435,0.9357030841610036,961.0
I-PER,0.9168207024029574,0.9725490196078431,0.9438629876308278,510.0
B-PROD,0.5912408759124088,0.6183206106870229,0.6044776119402986,131.0
I-PROD,0.5822784810126582,0.36507936507936506,0.44878048780487806,126.0
micro avg,0.8635162899911946,0.8483275663206459,0.8558545454545453,3468.0
macro avg,0.7052365801899093,0.7081083304562105,0.7005287243238489,3468.0
weighted avg,0.8622396375430335,0.8483275663206459,0.852728648183075,3468.0
