
NorNE_ne_CF_MATRIX_O_norbert2_seed_101
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,62,1,1,0,1,0,0,0,3,0,0,0,0,0,2,0,3,0,5
I-DRV,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-EVT,5,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,3
I-EVT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-GPE_LOC,0,1,0,0,395,1,9,0,11,0,0,0,5,0,2,0,2,0,2
I-GPE_LOC,0,0,0,0,0,72,0,3,0,2,0,0,0,0,0,0,0,0,2
B-GPE_ORG,0,0,0,0,16,0,41,0,0,0,0,0,3,1,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,2,0,14,0,0,0,143,0,0,0,8,0,4,0,0,0,14
I-LOC,0,0,0,0,1,0,0,0,2,61,0,0,0,5,1,5,0,0,10
B-MISC,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-ORG,0,0,0,0,2,0,2,0,9,0,0,0,450,2,15,0,10,0,31
I-ORG,0,0,0,0,7,0,0,0,0,3,0,0,4,183,1,6,3,4,37
B-PER,1,0,0,0,0,0,1,0,3,0,0,0,9,0,906,0,3,0,38
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,491,0,0,8
B-PROD,2,0,0,0,0,0,0,0,2,0,0,0,19,0,7,0,74,0,27
I-PROD,0,2,0,0,2,0,0,0,6,0,0,0,0,6,1,2,7,46,54
O,19,6,2,2,10,5,0,0,12,1,1,1,54,14,18,4,39,15,51068

NorNE_ne_CF_MATRIX_O_norbert2_seed_8
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,59,2,1,0,1,0,0,0,3,0,0,0,1,0,1,0,1,0,9
I-DRV,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
B-EVT,2,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
I-EVT,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B-GPE_LOC,1,0,0,0,397,1,5,0,15,0,0,0,4,0,1,0,1,2,1
I-GPE_LOC,0,0,0,0,0,74,0,1,0,2,0,0,0,0,0,0,0,0,2
B-GPE_ORG,0,0,0,0,14,0,45,1,0,0,0,0,1,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,1,0,8,0,0,0,147,0,0,0,5,0,7,0,1,0,16
I-LOC,0,0,0,0,0,1,0,0,2,59,0,0,0,1,1,15,0,2,4
B-MISC,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,1
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
B-ORG,2,0,0,0,2,0,1,0,11,0,0,0,430,2,18,0,13,0,42
I-ORG,0,0,0,0,5,0,0,0,0,4,0,0,5,177,0,15,0,8,34
B-PER,1,0,0,0,1,0,1,0,2,0,0,0,9,0,895,4,2,1,45
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,496,0,0,8
B-PROD,3,0,0,0,0,0,0,0,1,0,0,0,13,0,8,0,81,0,25
I-PROD,0,1,0,0,2,1,0,0,6,0,0,0,0,3,1,5,3,46,58
O,21,5,3,5,7,5,0,0,16,1,3,1,42,12,15,4,32,20,51079
