
C_SAMPLES_CR_binary_mbert_seed_101
,precision,recall,f1-score,support
0,0.9965484180249281,0.995212562236691,0.9958800421577082,5222.0
1,0.8878923766816144,0.9166666666666666,0.9020501138952164,216.0
accuracy,0.9920926811327694,0.9920926811327694,0.9920926811327694,0.9920926811327694
macro avg,0.9422203973532712,0.9559396144516787,0.9489650780264622,5438.0
weighted avg,0.9922325473132406,0.9920926811327694,0.9921530718552627,5438.0

C_SAMPLES_CR_binary_mbert_seed_1024
,precision,recall,f1-score,support
0,0.9963636363636363,0.9969360398314822,0.9966497559107877,5222.0
1,0.9248826291079812,0.9120370370370371,0.9184149184149185,216.0
accuracy,0.9935638102243471,0.9935638102243471,0.9935638102243471,0.9935638102243471
macro avg,0.9606231327358088,0.9544865384342596,0.9575323371628531,5438.0
weighted avg,0.9935243760533713,0.9935638102243471,0.9935422301845819,5438.0

C_SAMPLES_CR_binary_mbert_seed_37
,precision,recall,f1-score,support
0,0.9961729812476081,0.9969360398314822,0.9965543644716691,5222.0
1,0.9245283018867925,0.9074074074074074,0.9158878504672898,216.0
accuracy,0.9933799190878999,0.9933799190878999,0.9933799190878999,0.9933799190878999
macro avg,0.9603506415672003,0.9521717236194448,0.9562211074694795,5438.0
weighted avg,0.9933272198018678,0.9933799190878999,0.9933502513740328,5438.0

C_SAMPLES_CR_binary_mbert_seed_42
,precision,recall,f1-score,support
0,0.9967407975460123,0.9955955572577556,0.9961678482467905,5222.0
1,0.8963963963963963,0.9212962962962963,0.9086757990867579,216.0
accuracy,0.9926443545421111,0.9926443545421111,0.9926443545421111,0.9926443545421111
macro avg,0.9465685969712043,0.958445926777026,0.9524218236667742,5438.0
weighted avg,0.9927550692178922,0.9926443545421111,0.9926926215791613,5438.0

C_SAMPLES_CR_binary_mbert_seed_8
,precision,recall,f1-score,support
0,0.9961641733793632,0.9946380697050938,0.9954005366040629,5222.0
1,0.875,0.9074074074074074,0.8909090909090909,216.0
accuracy,0.9911732254505333,0.9911732254505333,0.9911732254505333,0.9911732254505333
macro avg,0.9355820866896816,0.9510227385562506,0.9431548137565768,5438.0
weighted avg,0.9913514735908486,0.9911732254505333,0.9912500856533247,5438.0
