
NorNE_ne_CR_all_labels_bert-base-multilingual-cased_seed_101
,precision,recall,f1-score,support
B-DRV,0.6063829787234043,0.7307692307692307,0.6627906976744187,78.0
I-DRV,0.5,0.46153846153846156,0.48000000000000004,13.0
B-EVT,0.0,0.0,0.0,14.0
I-EVT,0.0,0.0,0.0,4.0
B-GPE_LOC,0.8694638694638694,0.8714953271028038,0.8704784130688448,428.0
I-GPE_LOC,0.8409090909090909,0.9367088607594937,0.8862275449101796,79.0
B-GPE_ORG,0.7213114754098361,0.7213114754098361,0.7213114754098362,61.0
I-GPE_ORG,0.625,0.7142857142857143,0.6666666666666666,7.0
B-LOC,0.6616915422885572,0.7189189189189189,0.689119170984456,185.0
I-LOC,0.8545454545454545,0.5529411764705883,0.6714285714285715,85.0
B-MISC,0.0,0.0,0.0,14.0
I-MISC,0.0,0.0,0.0,3.0
B-ORG,0.7749003984063745,0.746641074856046,0.7605083088954057,521.0
I-ORG,0.8457943925233645,0.7298387096774194,0.7835497835497836,248.0
B-PER,0.8995901639344263,0.9136316337148803,0.9065565307176046,961.0
I-PER,0.9275092936802974,0.9784313725490196,0.9522900763358778,510.0
B-PROD,0.41044776119402987,0.4198473282442748,0.4150943396226415,131.0
I-PROD,0.6017699115044248,0.5396825396825397,0.5690376569037657,126.0
micro avg,0.8184731934731935,0.8099769319492502,0.8142028985507246,3468.0
macro avg,0.5632953518101739,0.557557879109957,0.557503290898225,3468.0
weighted avg,0.812108476185684,0.8099769319492502,0.8094664350047298,3468.0
