
NorNE_ne_CF_MATRIX_nb-bert-base_seed_101
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT
I-GPE_ORG,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,11,0,0,0,0,0,0,48,0,0,0,2,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,1,0,0
B-DRV,0,1,0,1,0,0,0,0,1,62,0,0,0,0,0,3,0,0
I-PROD,2,0,0,2,7,1,0,0,0,0,56,0,0,0,0,6,3,0
B-ORG,1,0,0,17,0,13,0,0,0,2,0,441,0,0,0,11,1,0
B-MISC,0,0,0,5,0,1,0,0,0,0,0,0,7,0,0,0,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I-GPE_LOC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
B-LOC,14,0,0,12,0,0,0,0,0,0,0,3,0,0,0,141,0,0
I-ORG,6,0,2,1,10,0,0,0,0,1,13,6,0,0,0,0,183,0
I-EVT,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1

NorNE_ne_CF_MATRIX_nb-bert-base_seed_8
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT
B-GPE_LOC,406,0,0,0,0,0,0,6,0,0,1,4,0,0,1,8,0,0
I-DRV,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I-LOC,0,0,54,1,15,0,0,0,0,0,0,0,0,0,1,2,4,0
B-PER,1,0,0,941,0,1,0,0,0,0,0,4,0,0,0,2,0,0
I-PER,0,0,1,6,501,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PROD,1,0,0,9,0,72,0,0,0,1,0,13,0,0,0,6,0,0
I-GPE_ORG,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,18,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
B-EVT,1,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0
B-DRV,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,3,0,0
I-PROD,2,0,0,0,5,0,0,0,0,0,58,0,0,0,0,5,4,0
B-ORG,0,0,0,15,0,15,0,0,1,0,0,441,0,0,0,11,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-GPE_LOC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0,0,0
B-LOC,12,0,0,10,0,0,0,0,0,0,0,5,0,0,0,143,0,0
I-ORG,5,0,2,2,4,0,0,0,0,0,11,5,0,0,0,1,181,1
I-EVT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
