
parl_l_CR_nb-bert-base_seed_101
,precision,recall,f1-score,support
0,0.9985901347105464,0.9925048606067653,0.9955381986144101,1014791.0
1,0.8396407412873437,0.9655247654374863,0.8981934639933241,41247.0
accuracy,0.9914510652078807,0.9914510652078807,0.9914510652078807,0.9914510652078807
macro avg,0.919115437998945,0.9790148130221259,0.9468658313038671,1056038.0
weighted avg,0.9923818489949502,0.9914510652078807,0.9917360832843595,1056038.0

parl_l_CR_nb-bert-base_seed_1024
,precision,recall,f1-score,support
0,0.9980392816038538,0.9946688529953458,0.9963512169602029,1014791.0
1,0.8789004790258316,0.9519237762746382,0.91395584315825,41247.0
accuracy,0.9929993049492537,0.9929993049492537,0.9929993049492537,0.9929993049492537
macro avg,0.9384698803148427,0.973296314634992,0.9551535300592264,1056038.0
weighted avg,0.9933859280408801,0.9929993049492537,0.9931329975559682,1056038.0

parl_l_CR_nb-bert-base_seed_37
,precision,recall,f1-score,support
0,0.9981789282200805,0.9938539068635808,0.9960117223858561,1014791.0
1,0.8633555341337306,0.9553906950808544,0.9070444579991023,41247.0
accuracy,0.9923516009840555,0.9923516009840555,0.9923516009840555,0.9923516009840555
macro avg,0.9307672311769055,0.9746223009722176,0.9515280901924792,1056038.0
weighted avg,0.9929129619045883,0.9923516009840555,0.9925368164126237,1056038.0

parl_l_CR_nb-bert-base_seed_42
,precision,recall,f1-score,support
0,0.9984582158676026,0.9936154341140195,0.9960309385279503,1014791.0
1,0.8596677424245706,0.9622518001309186,0.9080717488789237,41247.0
accuracy,0.9923904253445425,0.9923904253445425,0.9923904253445425,0.9923904253445425
macro avg,0.9290629791460866,0.9779336171224691,0.952051343703437,1056038.0
weighted avg,0.9930373023606032,0.9923904253445425,0.9925954061934572,1056038.0

parl_l_CR_nb-bert-base_seed_8
,precision,recall,f1-score,support
0,0.9980828205686247,0.9942165431108475,0.9961459303700391,1014791.0
1,0.870091637522688,0.9530147647101608,0.909667341625687,41247.0
accuracy,0.9926072736018969,0.9926072736018969,0.9926072736018969,0.9926072736018969
macro avg,0.9340872290456563,0.9736156539105041,0.9529066359978631,1056038.0
weighted avg,0.9930837084844992,0.9926072736018969,0.9927682277211398,1056038.0
