
C_SAMPLES_CF_MATRIX_binary_norbert2_seed_101
,0,1
0,5204,18
1,9,207

C_SAMPLES_CF_MATRIX_binary_norbert2_seed_1024
,0,1
0,5198,24
1,7,209

C_SAMPLES_CF_MATRIX_binary_norbert2_seed_37
,0,1
0,5206,16
1,12,204

C_SAMPLES_CF_MATRIX_binary_norbert2_seed_42
,0,1
0,5197,25
1,7,209

C_SAMPLES_CF_MATRIX_binary_norbert2_seed_8
,0,1
0,5203,19
1,11,205
