
NorNE_ne_CR_all_labels_nbailab-base-ner-scandi_seed_101
,precision,recall,f1-score,support
NorNE_ne_CR_all_labels_nbailab-base-ner-scandi_seed_8
,precision,recall,f1-score,support
B-DRV,0.8,0.7692307692307693,0.7843137254901961,78.0
I-DRV,0.45454545454545453,0.38461538461538464,0.41666666666666663,13.0
B-EVT,0.6428571428571429,0.6428571428571429,0.6428571428571429,14.0
I-EVT,0.0,0.0,0.0,4.0
B-GPE_LOC,0.9004524886877828,0.9299065420560748,0.9149425287356321,428.0
I-GPE_LOC,0.9024390243902439,0.9367088607594937,0.9192546583850932,79.0
B-GPE_ORG,0.7321428571428571,0.6721311475409836,0.7008547008547008,61.0
I-GPE_ORG,0.6363636363636364,1.0,0.7777777777777778,7.0
B-LOC,0.772020725388601,0.8054054054054054,0.7883597883597884,185.0
I-LOC,0.875,0.7411764705882353,0.802547770700637,85.0
B-MISC,1.0,0.35714285714285715,0.5263157894736842,14.0
I-MISC,1.0,0.3333333333333333,0.5,3.0
B-ORG,0.8729838709677419,0.8310940499040307,0.8515240904621436,521.0
I-ORG,0.9166666666666666,0.7540322580645161,0.827433628318584,248.0
B-PER,0.9419419419419419,0.9791883454734651,0.960204081632653,961.0
I-PER,0.9487666034155597,0.9803921568627451,0.9643201542912246,510.0
B-PROD,0.6201550387596899,0.6106870229007634,0.6153846153846154,131.0
I-PROD,0.723404255319149,0.5396825396825397,0.6181818181818182,126.0
micro avg,0.8856640281442393,0.8711072664359861,0.8783253379851723,3468.0
macro avg,0.7633188725803592,0.681532460356541,0.7006077187540198,3468.0
weighted avg,0.8826222269996664,0.8711072664359861,0.8745245291145,3468.0
