
NorNE_ne_CF_MATRIX_O_nbailab-base-ner-scandi_seed_101
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,63,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11
I-DRV,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
B-EVT,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2
I-EVT,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_LOC,0,0,0,0,397,2,9,0,12,0,0,0,2,0,0,0,2,2,2
I-GPE_LOC,0,0,0,0,0,72,0,3,0,2,0,0,0,0,0,0,0,0,2
B-GPE_ORG,1,0,0,0,19,0,40,0,0,0,0,0,1,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-LOC,1,0,0,0,10,0,0,0,141,0,0,0,6,0,11,0,0,0,16
I-LOC,0,0,0,0,0,0,0,0,2,58,0,0,0,4,1,15,0,0,5
B-MISC,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,6
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-ORG,1,0,1,0,0,0,1,0,11,0,0,0,428,1,17,0,15,0,46
I-ORG,0,0,0,1,6,0,0,0,0,4,0,0,7,183,1,4,0,5,37
B-PER,1,0,0,0,1,0,1,0,1,0,0,0,6,0,933,1,4,0,13
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,505,0,0,1
B-PROD,1,0,0,0,0,0,1,0,2,0,0,0,10,0,8,0,78,0,31
I-PROD,0,0,0,0,1,0,0,0,6,0,0,0,0,6,1,4,0,61,47
O,13,6,4,1,4,7,2,2,8,0,0,0,30,11,5,2,41,33,51102

NorNE_ne_CF_MATRIX_O_nbailab-base-ner-scandi_seed_8
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,60,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,12
I-DRV,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
B-EVT,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2
I-EVT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
B-GPE_LOC,0,0,0,0,398,1,9,0,14,0,0,0,0,1,0,0,1,2,2
I-GPE_LOC,0,0,0,0,0,74,0,1,0,2,0,0,0,0,0,0,0,0,2
B-GPE_ORG,0,0,0,0,20,0,41,0,0,0,0,0,0,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,9,0,0,0,149,0,0,0,6,0,7,0,0,0,14
I-LOC,0,0,0,0,0,0,0,0,2,63,0,0,0,6,1,11,0,0,2
B-MISC,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,1,0,6
I-MISC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
B-ORG,2,0,0,0,0,0,2,0,11,0,0,0,433,1,18,0,10,0,44
I-ORG,0,0,0,0,6,0,0,0,0,5,0,0,6,187,2,7,0,1,34
B-PER,0,0,0,0,1,0,1,0,2,0,0,0,7,0,941,0,2,0,7
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,500,0,0,2
B-PROD,0,0,0,0,0,0,1,0,4,0,0,0,12,0,8,0,80,0,26
I-PROD,0,0,0,0,1,0,0,0,5,0,0,0,0,5,2,4,1,68,40
O,12,5,4,0,5,7,2,3,3,2,0,0,31,4,9,5,33,22,51124
