
NorNE_ne_CF_MATRIX_NO_O_nbailab-base-ner-scandi_seed_101
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT
B-GPE_ORG,21,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,2,0,0,7,2,0,0,0,0,0,1,0,0
B-DRV,0,1,0,0,0,0,0,0,1,61,0,0,0,0,0,2,0,0
I-PROD,2,0,0,1,2,1,0,0,0,0,62,0,0,0,0,5,1,0
B-ORG,0,0,0,12,0,15,0,2,1,1,0,419,0,0,0,14,2,0
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-GPE_LOC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0,0,0
B-LOC,9,0,0,3,0,0,0,0,0,0,0,4,0,0,0,155,0,0
I-ORG,5,0,5,3,3,0,0,0,0,0,7,4,0,0,0,0,183,1
I-EVT,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1

NorNE_ne_CF_MATRIX_NO_O_nbailab-base-ner-scandi_seed_37
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT
B-GPE_LOC,392,0,0,1,0,1,0,11,0,0,2,2,0,0,1,14,1,0
I-DRV,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I-LOC,0,0,56,1,17,0,0,0,0,0,0,0,0,0,0,2,4,0
B-PER,1,0,0,918,1,4,0,0,0,1,0,16,0,0,0,3,0,0
I-PER,0,0,1,5,502,0,0,0,0,0,0,0,0,0,0,0,1,0
B-PROD,0,0,0,10,0,72,0,1,0,1,0,9,0,0,0,2,0,0
I-GPE_ORG,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,20,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
B-EVT,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0
B-DRV,0,0,0,1,0,1,0,0,1,59,0,0,0,0,0,2,0,0
I-PROD,2,0,0,0,3,5,0,0,0,0,60,1,0,0,0,5,1,0
B-ORG,0,0,0,15,0,17,0,1,1,2,0,426,0,0,0,8,2,0
B-MISC,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I-GPE_LOC,0,0,2,0,0,0,1,0,0,0,0,0,0,0,74,0,0,0
B-LOC,11,0,0,10,0,1,0,0,0,0,0,7,0,0,0,142,0,0
I-ORG,5,0,3,2,5,0,0,0,0,1,12,4,0,0,0,0,185,1
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2

NorNE_ne_CF_MATRIX_NO_O_nbailab-base-ner-scandi_seed_42
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT
B-GPE_LOC,393,0,0,0,0,1,0,13,0,0,2,4,0,0,1,11,1,0
I-DRV,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I-LOC,0,0,54,1,9,0,0,0,0,0,1,0,0,0,0,2,13,0
B-PER,0,0,0,932,1,2,0,1,0,0,0,11,0,0,0,1,0,0
I-PER,0,0,0,8,500,0,0,0,0,0,1,0,0,0,0,0,0,0
B-PROD,0,0,0,9,0,71,0,1,0,2,1,20,0,0,0,1,0,0
I-GPE_ORG,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
B-GPE_ORG,18,0,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,3,0,0
B-DRV,0,1,0,1,0,1,0,0,1,57,0,0,0,0,0,2,0,0
I-PROD,2,0,0,1,4,0,0,0,0,0,63,0,0,0,0,6,4,0
B-ORG,1,0,0,15,0,13,0,1,1,1,0,447,0,0,0,8,2,0
B-MISC,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0,0,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-GPE_LOC,0,0,2,0,0,0,5,0,0,0,0,0,0,0,70,0,0,0
B-LOC,18,0,0,7,0,1,0,0,0,0,0,12,0,0,0,133,0,0
I-ORG,3,0,1,1,3,0,0,0,0,0,6,4,0,0,0,1,208,1
I-EVT,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1

NorNE_ne_CF_MATRIX_NO_O_nbailab-base-ner-scandi_seed_8
,B-GPE_LOC,I-DRV,I-LOC,B-PER,I-PER,B-PROD,I-GPE_ORG,B-GPE_ORG,B-EVT,B-DRV,I-PROD,B-ORG,B-MISC,I-MISC,I-GPE_LOC,B-LOC,I-ORG,I-EVT
B-GPE_LOC,395,0,0,0,0,1,0,13,0,0,1,2,0,0,1,13,1,0
I-DRV,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
