
C_SAMPLES_CR_binary_norbert2_seed_101
,precision,recall,f1-score,support
0,0.9982735469019758,0.9965530448104175,0.997412553905127,5222.0
1,0.92,0.9583333333333334,0.9387755102040817,216.0
accuracy,0.995034939315925,0.995034939315925,0.995034939315925,0.995034939315925
macro avg,0.9591367734509879,0.9774431890718754,0.9680940320546043,5438.0
weighted avg,0.995164483619367,0.995034939315925,0.9950834620626434,5438.0

C_SAMPLES_CR_binary_norbert2_seed_1024
,precision,recall,f1-score,support
0,0.9986551392891451,0.9954040597472232,0.9970269492663277,5222.0
1,0.8969957081545065,0.9675925925925926,0.930957683741648,216.0
accuracy,0.9942993747701361,0.9942993747701361,0.9942993747701361,0.9942993747701361
macro avg,0.9478254237218258,0.981498326169908,0.9639923165039879,5438.0
weighted avg,0.9946171773316089,0.9942993747701361,0.9944026459648693,5438.0

C_SAMPLES_CR_binary_norbert2_seed_37
,precision,recall,f1-score,support
0,0.9977002683020314,0.9969360398314822,0.9973180076628352,5222.0
1,0.9272727272727272,0.9444444444444444,0.9357798165137615,216.0
accuracy,0.9948510481794778,0.9948510481794778,0.9948510481794778,0.9948510481794778
macro avg,0.9624864977873793,0.9706902421379633,0.9665489120882984,5438.0
weighted avg,0.9949028521817059,0.9948510481794778,0.9948736808352883,5438.0

C_SAMPLES_CR_binary_norbert2_seed_42
,precision,recall,f1-score,support
0,0.9986548808608763,0.995212562236691,0.9969307500479571,5222.0
1,0.8931623931623932,0.9675925925925926,0.928888888888889,216.0
accuracy,0.9941154836336888,0.9941154836336888,0.9941154836336888,0.9941154836336888
macro avg,0.9459086370116347,0.9814025774146418,0.962909819468423,5438.0
weighted avg,0.9944646680357802,0.9941154836336888,0.9942280942902597,5438.0

C_SAMPLES_CR_binary_norbert2_seed_8
,precision,recall,f1-score,support
0,0.9978902953586498,0.9963615472998851,0.9971253353775393,5222.0
1,0.9151785714285714,0.9490740740740741,0.9318181818181818,216.0
accuracy,0.9944832659065833,0.9944832659065833,0.9944832659065833,0.9944832659065833
macro avg,0.9565344333936106,0.9727178106869796,0.9644717585978606,5438.0
weighted avg,0.9946049455298713,0.9944832659065833,0.994531303533328,5438.0
