
C_SAMPLES_CF_MATRIX_O_norbert2_seed_101
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
I-DRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,24,0,1,0,3,0,0,0,0,0,0,0,0,0,0
I-GPE_LOC,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_ORG,0,0,0,0,7,0,10,0,0,0,0,0,2,0,1,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
I-LOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,0,0,0,0,0,0,0,0,66,2,1,0,2,0,6
I-ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2
B-PER,0,0,0,0,0,0,0,0,2,0,0,0,3,0,35,0,0,0,3
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
B-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
I-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,1,0,0,0,1,1,0,0,0,2,0,0,9,0,2,0,0,0,5206

C_SAMPLES_CF_MATRIX_O_norbert2_seed_42
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
I-DRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,25,0,0,0,3,0,0,0,0,0,0,0,0,0,0
I-GPE_LOC,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_ORG,1,0,0,0,2,0,12,0,0,0,0,0,4,0,1,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
I-LOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,1,0,0,0,0,0,0,0,0,0,0,0,71,2,0,0,1,0,2
I-ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2
B-PER,0,0,0,0,0,0,0,0,1,0,0,0,3,0,38,0,0,0,1
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
B-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
I-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,1,0,0,0,1,0,0,0,0,2,0,0,16,2,2,0,1,0,5197

C_SAMPLES_CF_MATRIX_O_norbert2_seed_8
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
I-DRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,24,0,1,0,3,0,0,0,0,0,0,0,0,0,0
I-GPE_LOC,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_ORG,0,0,0,0,9,0,8,0,0,0,0,0,2,0,1,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
I-LOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,0,0,0,0,0,0,0,0,70,2,0,0,1,0,4
I-ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2
B-PER,1,0,0,0,0,0,0,0,2,0,0,0,2,0,35,0,0,0,3
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
B-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
I-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,1,0,0,0,0,0,1,0,0,2,0,0,10,4,1,0,0,0,5203
